Intermarc	Nom référentiel
$A	Forme PA et variante
$F	Niveau de fiabilité
$I	Forme non éditable
$J	Ancien point d'accès
$X	Titre non significatif 
010$a	Type d'entité
010$b	Entité fictive
010$c	Niveau de catalogage
010$e|042$a|287$e|288$ce|332$e|$E	Écriture
010$f	Fonction de la notice
010$g	Type d'agrégat
010$h	Statut de la ressource
010$i	Mode d'intégration
010$j	Étape de catalogage
010$l|041$a|041$b|041$c|041$t|041$v|287$l|288$cl|332$l|817$l|$L	Code Langue - ISO 639-2
010$n|$N	Norme de catalogage
010$o	Taggage de cas particulier de l'arbre OEMI
010$p	Pré-notice
010$q	Type de ressource continue
010$r	Critère de regroupement
010$s	Statut d'identification
010$t	Type de ressource
010$v	Valeur du nom
012$d	Disponibilité
012$m|012$n	Item - Mode d'entrée
012$o	Code original
012$s	Grande catégorie de support
013$a	Niveau d'autonomie
013$b	Type de description
013$c	Modalité de parution
013$d|901$d	Type de document ADCAT-02
013$i	Présence d'illustrations, d'index, de tables, de texte
013$m	Mode de production du document
013$n	Nature du manuscrit
013$o|015$o	Type de publication officielle
013$p	Présentation musicale
013$r	Reproduction
013$s	Contenu secondaire
013$t	Caractéristique typographique
014$e	Qualification de l'expression représentative
014$g	Expression globale
014$i	Qualification de l'expression générique
014$m	Modalité d'adaptation de l'expression
014$o	Statut de l'objet numismatique
014$r	Qualification de l'expression de regroupement
014$t	Type de mention
015$a	Œuvre académique
015$c	Catégorie d'œuvre
015$e	Édition principale d'un périodique
015$g	Œuvre globale
015$n	Projet non réalisé
015$p	Type de plan d'extension
015$r	Type de recueil
016$a	Grande catégorie de la forme de l'Œuvre audiovisuelle
016$b	Grande catégorie de la forme de l'œuvre plastique
016$c	Grande catégorie de la forme de l'œuvre cartographique
016$i	Forme de l'œuvre iconographique (grande catégorie)
016$l	Grande catégorie de la forme de l'œuvre logicielle et multimédia
016$m	Grande catégorie de la forme de l'œuvre monétiforme
016$p	Grande catégorie de la forme de l'œuvre performative
016$r	Grande catégorie de la forme de l'œuvre de contenu parlé
01C$b	Caractère officiel de la Collectivité
01C$c	Groupe occasionnel
01C$d	Domaine administratif de la collectivité officielle
01C$p	Catégorie d'organisation publique ou intergouvernementale
01C$r	Échelon territorial d'action
01C$t	Type de collectivité
01F$t	Type de famille
01L$a	Grande catégorie du lieu
01L$b	Catégorie du lieu
01L$c	Typologie du lieu
01L$d	Lieu disparu
01P$c	Catégorie de l'Identité publique
01P$g	Genre de la personne
01P$m	Personne morte pour la France
01Q$c	Catégorie des produits de la marque
01S$c	Création
01S$f	Festival
01S$r	Reprise
01S$t	Tournée
01T$a	Catégorie du Laps de temps
01T$b	Avant Jésus-Christ
022$c	Code du centre ISSN
022$p	Périmètre d'intérêt de la ressource continue
023$q	Type de numéro
02Z$q	Type d'identifiant
034$q	Type de numéro d'entrée
037$q	Type d'identifiant - Item
040$c|914$c	Circonstances de la captation
040$g	Date privilégiée
040$p|304$p|914$p	Code Pays
040$q|914$q	Nature de la date et/ou du lieu
040$r|914$r	Code Pays non actuel
040$x|041$x|042$x|043$x|048$x|051$x|052$x|054$x|055$x|350$x|62A$x|62B$x|62C$x|62D$x|62I$x|62G$x|62L$x|62M$x|62N$x|62R$x|62S$x|62T$x|62X$x|914$x	Couverture de l'agrégat
041$aa|041$bb|041$cc|041$tt|041$vv|287$ll|288$ll|332$ll|$LL	Code Langue - ISO 639-3
041$f	Aspect de traduction
041$q	Périmètre d'application de la langue
042$m	Forme de la notation musicale
042$n	Forme de la notation du mouvement
042$o	Forme de la notation tactile
042$t|$T	Système de translittération ou transcription
043$c	Classification CNC
043$d	Classification PEGI
043$e	Précision PEGI
043$h	Public en situation de handicap
043$n	Niveau d'enseignement
043$p	Public
044$d|682$a	Grande classe Dewey
044$p	Profession
045$a|355$a	Périodicité
046$m	Métal nominal
047$a|342$g	Tonalité
047$m|342$h	Modalité
048$a|048$h|048$p	Distribution musicale – Instrument/voix
048$b|048$i|048$r	Distribution musicale – Tessiture, instrument préparé
048$c|048$j|048$s	Distribution musicale – Nombre de mains, d'exécutants, tonalité des instruments transpositeurs
048$d|048$l|048$t	Distribution musicale – Amplifié, ethnique, etc.
048$e|048$m|048$u	Distribution musicale – Ad libitum
048$v	Type de distribution musicale
051$a|051$m|051$s	Type de contenu
051$b	Type de médiation
051$o	Objet monétiforme
052$a	Type de support
052$b	Format audiovisuel (chargement)
052$f	Famille de support
052$s	Type de sillon
053$k	Technique précise (ressources iconographiques)
053$m	Matériau de la matrice
053$p	Polarité de la photographie
054$a	Caractéristique de couleur
055$e	Mode d'enregistrement
055$p|282$s|288$s	Technique de spatialisation du son
055$s	Caractéristique sonore
057$m	Circuit de la ressource
057$o	Circuit d'origine
072$d|072$e	Degrés Longitude
072$dm|072$ds|072$em|072$es|072$fm|072$fs|072$gm|072$gs	MinutesSecondes
072$dp|072$ep	Position Est/Ouest
072$f|072$g	Degrés Latitude
072$fp|072$gp	Position Nord /Sud
072$h|072$u	Tranche d'échelle 
072$o	Ellipsoïde
072$p	Projection
072$q	Source des coordonnées
072$r	Méridien
072$s|256$s	Système géodésique
072$t	Type d'échelle
073$a	Cadre de classement géographique actuel
073$h	Cadre de classement géographique historique
074$m	Mode de représentation des géométries
074$r	Expression du relief
074$s	Nom du satellite
076$a	Forme de la zone utile des feuilles
076$b	Type de recouvrement entre les feuilles
076$c	Caractéristiques des limites des feuilles
076$e	Mode de désignation des feuilles
080$r	Relecture
096$j	Genre, forme
100$q|400$q	Type du nom
150$q	Nature du titre de l'œuvre
152$c	Comparaison avec le titre propre
152$q	Nature du titre de l'œuvre (ressource continue)
170$h	Qualification linguistique
170$r|470$r|182$r|482$r	Grande division océanique
184$r|484$r	Nature de la représentation
200$a	Item - Établissement
200$b|206$a|207$a|810$a	Item - Destination
200$c	Item - Usage
